POI_ID,POI_Type,Name,Latitude,Longitude
1814595036,School,St. Mary's National School,6.1278447,81.1234333
1814595063,School,Hambantota Vidyalaya,6.1269873,81.1206954
1815547061,School,Ediriweera Sarachchandra College - Himbutana,6.9240694,79.9408452
1818503756,School,Theraputta Primary School,6.1173491,81.0223763
1818516463,School,Ambalantota Maha Vidyalaya,6.1212695,81.0086917
1818583218,School,Wijayaba National School,6.1118285,80.9311115
1819753839,School,Dharmapala College,6.8325612,80.9846913
1819753850,School,Albarakka Int. School,6.832219,80.985036
1819855544,School,Maliththa Central College,6.890002,80.9889518
1819855798,School,Ettampitiya Central College,6.938221,80.9900664
1819858023,School,Seewali Vidyalaya,6.8306597,80.9928291
1820038315,School,"St. Thomas College, Guruthalawa",6.8440766,80.9003895
1821277179,School,Dharmapala Central College,6.830697,80.8960496
1822477895,School,Deshastra Balika Vidyalaya,6.6017593,79.9545889
1822512288,School,Ethanamadala Primary College,6.6041515,79.9664809
1822512519,School,Pothupitiya Central College,6.6394488,79.9401318
1822620711,School,Sri Vimalasara Maha Vidyalaya,6.5948904,79.9720608
1822724925,School,St Johns College,6.5830227,79.9624263
1822725254,School,Gnanodaya Vidyalaya,6.5812641,79.9630647
1822753339,School,Welapura Vidyalaya,6.5800118,79.9611979
1822753372,School,Sri Devananda Vidyalaya,6.5735928,79.9664791
1823673232,School,Muslim Central College,6.5702914,79.9669432
1823673255,School,Muslim Balika Maha Vidyalaya,6.5761141,79.9702362
1823709346,School,Dharmapala Vidyalaya,6.5591427,79.9728601
1823709385,School,Buddhist Primary School,6.5610772,79.9712562
1828233343,School,Balangoda Vidyaloka Maha Vidyalaya,6.6487202,80.698505
1828233801,School,Tamil Vidyalaya,6.6446547,80.6986927
1829368501,School,Rathmalvinna Central College,6.6727984,80.7196086
1830414104,School,Highland Central College,6.889592,80.5961975
1830490075,School,Buddhist College,7.165099,80.5723204
1830502815,School,Gampola Zahira College,7.1696018,80.5717277
1831898376,School,Nagaragiri School,7.173322,80.5003072
1831898524,School,Zahira Arabic College,7.1719437,80.5115013
1831954206,School,Jinaraja Boys College,7.1603406,80.5569004
1831954210,School,Devi Balika Vidyalaya,7.1577112,80.5566858
1834911211,School,Iqra Muslim Maha Vidyalaya,7.105041,80.5604946
1834947637,School,Al Minhaj National School,7.0563069,80.5705529
1834947714,School,Harangala Primary School,7.0518012,80.5919958
1836302309,School,Zahira College,7.3278804,80.6257795
1837320420,School,Mahamaya Girls College,7.2870795,80.6452633
1837320553,School,Hillwood College,7.2890303,80.641449
1837478200,School,Hemamali Balika Vidyalaya,7.2985738,80.6363331
1837533704,School,Vidyaloka Maha Vidyalaya,7.2825147,80.6654494
1838371816,School,Anula Vidyalaya,6.8719477,79.8845994
1838371827,School,St. Joseph's Girls College,6.8707813,79.8867451
1838377732,School,Lyceum International School,6.8704724,79.8862784
1838393554,School,Lindsay Girls College,6.8959215,79.8541271
1838453785,School,Holy Family Convent,6.8571602,79.8647832
1839445245,School,Stafford International School,6.9079093,79.8640536
1840750551,School,Hunupitiya Bandaranayake College,6.9838638,79.9104817
1840750567,School,Sri Sumangala Vidyalaya,6.9850346,79.9235665
1840782272,School,Sri Rathanapala Maha Vidyalaya,6.9753624,79.8896017
1843473750,School,Sapugaskanda Vishaka Girls College,6.9715525,79.9546479
1843491283,School,Rajasinghe National College,6.9089095,80.0886393
1843502798,School,Mayadunna Maha Vidyalaya,6.9079564,80.0834559
1843502800,School,Pahathgama Roman Catholic School,6.9017748,80.0865748
1843502801,School,St. John Bosco College,6.9181661,80.0996052
1843534112,School,Kothalawala Maha Vidyalaya,6.9303637,79.9835031
1843565817,School,Biyagama Central College,6.9474414,79.9938994
1843565870,School,Biyagama Junior School,6.9452528,79.9910991
1843603845,School,Walgama Maha Vidyalaya,6.9594705,80.017417
1843603891,School,Weera Wijayaba Vidyalaya,6.9947678,80.0160491
1846325616,School,Motagedara MV,5.9636269,80.5840252
1847947601,School,Nilpanagoda Central College,7.1976025,79.9522554
1847947613,School,Nalanda Boy's School Minuwangoda,7.1697029,79.9514829
1855349674,School,Al Mannar Muslim Vidyalaya,7.2186086,80.5742625
1856840424,School,Ambepussa Central,7.2409333,80.2073442
1862684243,School,Akarawita Maha Vidyalaya,6.9476856,80.1095666
1877120233,School,Belvoir Int. College,6.8867428,79.8600947
1877145509,School,Lumbini Vidyalaya,6.8840293,79.8665535
1877187395,School,Al Kalam Maha Vidyalaya,6.8735668,81.8233376
1877384936,School,D.S Senanayake Coleege,7.2192578,81.5474885
1880354710,School,Central College,7.517264,81.7859851
1880451336,School,Namagal Vidyalaya,7.9192454,81.5591775
1881982350,School,Horowpotana Central College,8.554728,80.8295094
1887836826,School,St. Sebastian's College,7.3641297,79.8337524
1897749810,School,St. Mary's College,7.0794036,79.8951673
1899647782,School,De Mazenod College,7.049042,79.9058395
1899707371,School,Dharmashoka Vidyalaya,7.0460239,79.9081116
1901979146,School,St.Sebastian's Girls College,7.0466188,79.8914999
1902017816,School,St.Sebastian's School,6.9971852,79.9172257
1903643390,School,O.K.I Int School,6.9870632,79.89057
1903643511,School,St.Anthony's College,6.9848908,79.8933541
1909603763,School,Vidyaloka Vidyalaya,7.0057468,79.8869865
1909723033,School,Nayakanda Boys School,6.9995732,79.8817964
1918165069,School,Soma Devi Girls School,6.9350605,79.9152261
1918165073,School,Sri Rajasinghe College,6.9362286,79.9201009
1918174780,School,Dharmapala Vidyalaya,6.9378908,79.9165525
1924772400,School,Gurukula Vidyalaya,6.9588474,79.894427
1924772424,School,Vijaya Vidyalaya,6.9575708,79.8867586
1924788516,School,Darus Salam Vidyalaya,6.9376166,79.8717569
1932028492,School,Walasmulla Primary School,6.1489834,80.6974213
1933478555,School,Walgammulla Central College,6.2381742,80.6752663
1934643777,School,Unknown,7.1566107,80.6713848
1945644574,School,Gemunu Central College,6.9341765,81.1532359
1956105995,School,Ananda Primary College,6.2927005,80.1649066
1957971364,School,Elpitiya Royal College,6.2998587,80.1564788
1969471012,School,Adhikaram MahaVidyalaya,6.5207489,80.1192605
1969471324,School,C.W.W Kannangara Central College,6.5171939,80.1202207
1974700307,School,Soraborawewa Maha Vidyalaya,7.3552312,80.9913609
1974709638,School,Dehogolla Maha Vidyalaya,7.3336947,81.0216162
1974728766,School,Dehiattakandiya National School,7.6680592,81.0481177
1977820875,School,Mayurapada Central College,7.4279742,80.2121384
1977821332,School,Monk's School (Pirivena),7.4288944,80.2120043
1977821563,School,Narammala Primary School,7.4264847,80.2136834
1977839741,School,Narammala Maha Vidyalaya,7.4347404,80.2104379
1978104171,School,Madagama Abaya College,7.5342748,79.8766638
1980792436,School,Gintota Maha Vidyalaya,6.0624714,80.1767617
1980792439,School,C.W.W Kannangara Vidyalaya,6.041144,80.2003651
1985788944,School,Sri Walgamba MV,6.5746347,80.7066194
1993203096,School,Primary School,6.7882551,81.0168129
1993203238,School,Unknown,6.7663387,80.9539103
1993203439,School,Unknown,6.7751381,80.9791979
1994920153,School,Sumana Balika Vidyalaya,6.6787438,80.3921557
2030086450,School,Radawana Mahagamasekera Maha Vidyalaya,7.0339888,80.0929535
2034206149,School,Vidyawardana Maha Vidyalaya,6.8940815,79.8790579
2034242941,School,Tamil School,6.9289525,79.8808764
2034260174,School,Sri Rahula Vidyalaya,6.9377124,79.8886441
2051033578,School,J/Hindu College,9.6785366,80.0125291
2051033636,School,J/Hindu Ladies College,9.6802554,80.0183386
2051033659,School,J/Hindu Primary School,9.679616,80.0148582
2052466268,School,J/Chundikuli Girl's College,9.6557026,80.028516
2055565229,School,Premadasa Maha Vidyalaya,7.3514021,80.9498363
2064203711,School,Ave Maria Convent,7.2132972,79.8416304
2078581451,School,Baddegama Navodya Maha Vidyalaya,6.9257202,81.0828205
2078653445,School,Wiharamahadevi Balika Vidyalaya,6.9904499,81.059252
2090546858,School,Ashoka College,6.7208825,80.056492
2091753196,School,Sujatha Vidyalaya Nugegoda,6.8650441,79.8970866
2093133903,School,Sri Chandrarathna Manawasinghe Vidyalaya,6.8406688,79.9161897
2094306182,School,Sangamitta Balika Vidyalaya,6.9203103,79.8691938
2094311012,School,Ananda College,6.9246176,79.8686836
2094344666,School,Gareway Int. School,6.9131523,79.884712
2097612128,School,Ballapitiya Kanishta Vidyalaya,6.6898143,80.0750674
2099315134,School,President's College (Primary Section),6.856095,79.909678
2101145763,School,Sapugaskanda Sobhitha Vidyalaya,6.9743213,79.9526309
2101207636,School,Yoshida International School,6.9690987,79.9588281
2142237458,School,Katunayake Maha Vidyalaya,7.1767871,79.867047
2146192261,School,Pussella Maha Vidyalaya,6.8025365,80.3374261
2146192290,School,Kuruwita Central College,6.7818466,80.3619575
2146223929,School,Erathna Maha Vidyalaya,6.8341538,80.4083597
2150017018,School,Batuhena Maha Vidyalaya,6.7394268,80.3818165
2151514470,School,Ferguson High School,6.6825167,80.3992026
2151514518,School,St.Lukes College,6.6820208,80.4008698
2151514527,School,Lyceum Int. School,6.6875223,80.4071191
2151514574,School,Mihindu Vidyalaya,6.6835397,80.3992536
2151594559,School,St.Aloysius College,6.6813099,80.4033547
2151603816,School,Al Makiya Muslim Maha Vidyalaya,6.6796422,80.4077696
2152792708,School,Mahinda Primary School,6.6201168,80.5442887
2152816997,School,J/St Patrick's College,9.6546396,80.0217997
2152832503,School,Kn/Killinochchi Central College,9.3809374,80.4089819
2152922140,School,Bamunugama Navodya School,6.1217869,80.5895643
2152922277,School,Watapotha Maha Vidyalaya,6.5903341,80.5057721
2152975508,School,Horawala Maha Vidyalaya,6.1857996,80.6840049
2152975663,School,Walasmulla National School,6.1495888,80.6978286
2155827646,School,Neluwa National School,6.3769807,80.3584599
2162092254,School,Morawaka Primary School,6.2688947,80.4964917
2176977984,School,St.Mathew Collega,6.3411842,80.5610761
2176977989,School,rajapaksha scool,6.3426838,80.5613046
2176977990,School,Deniyaya National School,6.3458396,80.5571144
2185041888,School,Ella Ihala Primary School,6.3787453,80.3052824
2185269478,School,Udugama Central College,6.2076225,80.3374474
2195313352,School,Kochchikade School,7.2633688,79.8553525
2196922080,School,Al Falah Vidyalaya,7.2590372,79.8462867
2196976233,School,Al Hilal College,7.2200827,79.8490815
2235191852,School,Thakshila Private School,7.3324973,81.010598
2279195241,School,Kaduruwela Muslim Central College,7.9272311,81.0387324
2285461010,School,"Ananda Balika Maha Vidyalaya,Hingurakgoda",8.0360088,80.9577083
2286402633,School,Medirigiriya Central College,8.1428665,80.9688008
2304485619,School,Manampitiya Tamil School,7.9019556,81.1133729
2304612474,School,Siripura Central College,7.7298482,81.0156333
2308038409,School,Ududumbara Secondary School,7.3167283,80.8786662
2308038412,School,Ududumbara Primary School,7.3196095,80.8776524
2310800510,School,Sngamitta Girls School,6.4320161,80.0029564
2312455665,School,Sivaneswara Tamil Vidyalaya,7.2986694,80.851879
2312712968,School,Nugethenna Maha Vidyalaya,7.2856701,80.8567016
2315533334,School,Oorugal Tamil Maha Vidyalaya,7.2880087,80.8179142
2315533336,School,Medamahanuwara Central College,7.2858936,80.81443
2315563271,School,Gannoruwa Kanishta Vidyalaya,7.2851277,80.5894595
2322771214,School,Vijayaba National college.Mahawa,7.8256635,80.2681083
2323963205,School,Alawwa Sri Rahula Central College,7.2968211,80.2326315
2334181619,School,Teldeniya National School,7.308827,80.7628351
2338999808,School,Rivisanda Central College,7.2113898,80.4580818
2338999820,School,Polambegoda Maha Vidyalaya,7.2001763,80.4584305
